group_name,application_name,environment,criticality,owner,vm_count,included_tiers,migration_waves,target_hints,all_members,portal_path,checklist_note
grp---citrix-clinical-de,citrix-clinical-de,,,,22,contro; db; storef; worker,wave-2; wave-3,Azure SQL Managed Instance candidate; Azure VMware Solution,vm-prod-citrix-clinical-de-contro-01; vm-prod-citrix-clinical-de-contro-02; vm-prod-citrix-clinical-de-storef-01; vm-prod-citrix-clinical-de-storef-02; vm-prod-citrix-clinical-de-worker-01; vm-prod-citrix-clinical-de-worker-02; vm-prod-citrix-clinical-de-worker-03; vm-prod-citrix-clinical-de-worker-04; vm-prod-citrix-clinical-de-worker-05; vm-prod-citrix-clinical-de-worker-06; vm-prod-citrix-clinical-de-worker-07; vm-prod-citrix-clinical-de-worker-08; vm-prod-citrix-clinical-de-worker-09; vm-prod-citrix-clinical-de-worker-10; vm-prod-citrix-clinical-de-worker-11; vm-prod-citrix-clinical-de-worker-12; vm-prod-citrix-clinical-de-worker-13; vm-prod-citrix-clinical-de-worker-14; vm-prod-citrix-clinical-de-worker-15; vm-prod-citrix-clinical-de-worker-16; vm-prod-citrix-clinical-de-db-01; vm-prod-citrix-clinical-de-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp---claims-adjudicatio,claims-adjudicatio,,,,10,api; db; web,wave-2; wave-3,Azure Database for PostgreSQL candidate; Azure VMware Solution; Azure Virtual Machines,vm-prod-claims-adjudicatio-web-01; vm-prod-claims-adjudicatio-web-02; vm-prod-claims-adjudicatio-web-03; vm-prod-claims-adjudicatio-web-04; vm-prod-claims-adjudicatio-api-01; vm-prod-claims-adjudicatio-api-02; vm-prod-claims-adjudicatio-api-03; vm-prod-claims-adjudicatio-api-04; vm-prod-claims-adjudicatio-db-01; vm-prod-claims-adjudicatio-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-epic-ehr-core,epic-ehr-core,prod,tier-1,clinical-informatics,16,app; db; presen,wave-3,Azure VMware Solution; Azure Virtual Machines,vm-prod-epic-ehr-core-presen-01; vm-prod-epic-ehr-core-presen-02; vm-prod-epic-ehr-core-presen-03; vm-prod-epic-ehr-core-presen-04; vm-prod-epic-ehr-core-app-01; vm-prod-epic-ehr-core-app-02; vm-prod-epic-ehr-core-app-03; vm-prod-epic-ehr-core-app-04; vm-prod-epic-ehr-core-app-05; vm-prod-epic-ehr-core-app-06; vm-prod-epic-ehr-core-app-07; vm-prod-epic-ehr-core-app-08; vm-prod-epic-ehr-core-db-01; vm-prod-epic-ehr-core-db-02; vm-prod-epic-ehr-core-db-03; vm-prod-epic-ehr-core-db-04,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp---identity-and-acces,identity-and-acces,,,,6,db; idm,wave-3,Azure SQL Managed Instance candidate; Azure Virtual Machines,vm-prod-identity-and-acces-idm-01; vm-prod-identity-and-acces-idm-02; vm-prod-identity-and-acces-idm-03; vm-prod-identity-and-acces-idm-04; vm-prod-identity-and-acces-db-01; vm-prod-identity-and-acces-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-integration-engine,integration-engine,prod,tier-1,interop-platform,8,api; broker,wave-2; wave-3,Azure Virtual Machines,vm-prod-integration-engine-broker-01; vm-prod-integration-engine-broker-02; vm-prod-integration-engine-broker-03; vm-prod-integration-engine-broker-04; vm-prod-integration-engine-api-01; vm-prod-integration-engine-api-02; vm-prod-integration-engine-api-03; vm-prod-integration-engine-api-04,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp---lab-information-sy,lab-information-sy,,,,6,app; db,wave-3,Azure SQL Managed Instance candidate; Azure Virtual Machines,vm-prod-lab-information-sy-app-01; vm-prod-lab-information-sy-app-02; vm-prod-lab-information-sy-app-03; vm-prod-lab-information-sy-app-04; vm-prod-lab-information-sy-db-01; vm-prod-lab-information-sy-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-pacs-imaging,pacs-imaging,prod,tier-1,radiology-platform,8,app; db; web,wave-2; wave-3,Azure SQL Managed Instance candidate; Azure VMware Solution; Azure Virtual Machines,vm-prod-pacs-imaging-web-01; vm-prod-pacs-imaging-web-02; vm-prod-pacs-imaging-app-01; vm-prod-pacs-imaging-app-02; vm-prod-pacs-imaging-app-03; vm-prod-pacs-imaging-app-04; vm-prod-pacs-imaging-db-01; vm-prod-pacs-imaging-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp---patient-portal-dot,patient-portal-dot,,,,10,app; db; web,wave-2; wave-3,Azure App Service candidate; Azure SQL Managed Instance candidate; Azure VMware Solution,vm-prod-patient-portal-dot-web-01; vm-prod-patient-portal-dot-web-02; vm-prod-patient-portal-dot-web-03; vm-prod-patient-portal-dot-web-04; vm-prod-patient-portal-dot-app-01; vm-prod-patient-portal-dot-app-02; vm-prod-patient-portal-dot-app-03; vm-prod-patient-portal-dot-app-04; vm-prod-patient-portal-dot-db-01; vm-prod-patient-portal-dot-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp---pharmacy-managemen,pharmacy-managemen,,,,6,app; db,wave-3,Azure SQL Managed Instance candidate; Azure Virtual Machines,vm-prod-pharmacy-managemen-app-01; vm-prod-pharmacy-managemen-app-02; vm-prod-pharmacy-managemen-app-03; vm-prod-pharmacy-managemen-app-04; vm-prod-pharmacy-managemen-db-01; vm-prod-pharmacy-managemen-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier2-provider-directory,provider-directory,prod,tier-2,network-management,5,app; db; web,wave-2; wave-3,Azure App Service candidate; Azure SQL Managed Instance candidate; Azure VMware Solution,vm-prod-provider-directory-web-01; vm-prod-provider-directory-web-02; vm-prod-provider-directory-app-01; vm-prod-provider-directory-app-02; vm-prod-provider-directory-db-01,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
