vm,application_name,tier,criticality,owner,technologies,suggested_target,migration_wave
vm-prod-epic-ehr-core-presen-01,epic-ehr-core,presentation,tier-1,clinical-informatics,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-presen-02,epic-ehr-core,presentation,tier-1,clinical-informatics,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-presen-03,epic-ehr-core,presentation,tier-1,clinical-informatics,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-presen-04,epic-ehr-core,presentation,tier-1,clinical-informatics,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-app-01,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2019,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-02,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2022,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-03,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2019,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-04,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2022,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-05,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2019,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-06,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2022,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-07,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2019,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-app-08,epic-ehr-core,app,tier-1,clinical-informatics,Windows Service; .NET 6; Microsoft Windows Server 2022,Azure Virtual Machines,wave-3
vm-prod-epic-ehr-core-db-01,epic-ehr-core,db,tier-1,clinical-informatics,SQL Server 2022 Enterprise; Always On Availability Groups; Microsoft Windows Server 2022,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-db-02,epic-ehr-core,db,tier-1,clinical-informatics,SQL Server 2022 Enterprise; Always On Availability Groups; Microsoft Windows Server 2022,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-db-03,epic-ehr-core,db,tier-1,clinical-informatics,SQL Server 2022 Enterprise; Always On Availability Groups; Microsoft Windows Server 2022,Azure VMware Solution,wave-3
vm-prod-epic-ehr-core-db-04,epic-ehr-core,db,tier-1,clinical-informatics,SQL Server 2022 Enterprise; Always On Availability Groups; Microsoft Windows Server 2022,Azure VMware Solution,wave-3
vm-prod-patient-portal-dot-web-01,patient-portal-dotnet,web,tier-1,digital-patient-experience,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-patient-portal-dot-web-02,patient-portal-dotnet,web,tier-1,digital-patient-experience,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-patient-portal-dot-web-03,patient-portal-dotnet,web,tier-1,digital-patient-experience,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-patient-portal-dot-web-04,patient-portal-dotnet,web,tier-1,digital-patient-experience,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-patient-portal-dot-app-01,patient-portal-dotnet,app,tier-1,digital-patient-experience,IIS 10; .NET 8; Microsoft Windows Server 2022,Azure App Service candidate,wave-3
vm-prod-patient-portal-dot-app-02,patient-portal-dotnet,app,tier-1,digital-patient-experience,IIS 10; .NET 8; Microsoft Windows Server 2022,Azure App Service candidate,wave-3
