scenario,application_name,source_vm,source_tier,source_process,target_name,target_type,target_tier,target_process,protocol,destination_port,transport,interaction_pattern,observation_window,avg_connections_per_minute,peak_connections_per_minute,avg_rtt_ms,bytes_per_hour_mb,criticality,confidence,migration_signal,notes
enterprise,commerce-java,vm-prod-commerce-java-web-01,web,nginx,vm-prod-commerce-java-app-01,vm,app,java,HTTPS,443,tcp,steady-state,24h rolling,180,420,7,980,critical,high,Keep web and app tiers grouped for assessment and cutover sequencing.,Persistent tier-to-tier flow with low latency sensitivity.
enterprise,commerce-java,vm-prod-commerce-java-app-01,app,java,vm-prod-commerce-java-db-01,vm,db,sqlservr.exe,TDS,1433,tcp,steady-state,24h rolling,95,190,4,620,critical,high,Database proximity and throughput matter for rehost-first planning.,"Transaction flow for checkout, catalog, and cart operations."
enterprise,commerce-java,vm-prod-commerce-java-app-01,app,java,payment-gateway.example,external-service,external,HTTPS endpoint,HTTPS,443,tcp,external-edge,business hours,18,44,28,140,critical,medium,Document internet egress and third-party dependencies before migration.,External PSP/API dependency discovered from app tier.
enterprise,payments-sqlao,vm-prod-payments-sqlao-api-01,api,dotnet.exe,vm-prod-payments-sqlao-dbprima-01,vm,dbprimary,sqlservr.exe,TDS,1433,tcp,steady-state,24h rolling,120,240,3,740,critical,high,Primary SQL node must remain in same migration wave as API tier.,Primary read/write payment processing flow.
enterprise,payments-sqlao,vm-prod-payments-sqlao-dbprima-01,dbprimary,sqlservr.exe,vm-prod-payments-sqlao-dbseco-01,vm,dbsecondary,sqlservr.exe,HADR,5022,tcp,failover-heartbeat,24h rolling,40,72,2,310,critical,high,SQL AO replication traffic indicates HA pair semantics for migration runbooks.,Replica synchronization and heartbeat.
enterprise,payments-sqlao,vm-prod-payments-sqlao-dbseco-01,dbsecondary,sqlservr.exe,vm-prod-payments-sqlao-witnes-01,vm,witness,cluster service,TCP,59999,tcp,failover-heartbeat,24h rolling,12,20,2,42,critical,medium,Witness traffic should be validated during DR and failover test planning.,Witness/quorum coordination.
enterprise,sap-s4hana,vm-prod-sap-s4hana-sapweb-01,sapweb,sapwebdisp,vm-prod-sap-s4hana-sapapp-01,vm,sapapp,disp+work,HTTPS,443,tcp,steady-state,business hours,130,260,9,760,critical,high,Dispatcher and app servers should remain grouped to preserve response-time characteristics.,North-south SAP UI traffic.
enterprise,sap-s4hana,vm-prod-sap-s4hana-sapapp-01,sapapp,disp+work,vm-prod-sap-s4hana-db-01,vm,db,hdbindexserver,SQL,30015,tcp,steady-state,business hours,88,170,5,690,critical,high,"App-to-HANA latency should be preserved, especially during close periods.",ERP transaction processing against HANA.
enterprise,sap-s4hana,vm-prod-sap-s4hana-sapapp-01,sapapp,disp+work,vm-prod-sap-s4hana-batch-01,vm,batch,sapbatch,RFC,3300,tcp,batch-window,22:00-04:00,24,88,11,420,critical,medium,Nightly batch windows must be captured for cutover blackout planning.,RFC traffic to background processing tier.
enterprise,citrix-vdi,vm-prod-citrix-vdi-storef-01,storefront,Citrix.DeliveryServices,vm-prod-citrix-vdi-contro-01,vm,controller,BrokerService.exe,HTTPS,443,tcp,steady-state,business hours,110,240,13,300,critical,high,Control-plane pairing should stay intact during migration sequencing.,StoreFront to Delivery Controller traffic.
enterprise,citrix-vdi,vm-prod-citrix-vdi-contro-01,controller,BrokerService.exe,vm-prod-citrix-vdi-db-01,vm,db,sqlservr.exe,TDS,1433,tcp,steady-state,24h rolling,42,88,4,160,critical,high,Citrix site database dependency discovered from controller role.,Controller configuration and brokering state.
enterprise,citrix-vdi,vm-prod-citrix-vdi-worker-01,worker,wfshell.exe,citrix-client-endpoints,external-service,external,ICA/HDX session,ICA,1494,tcp,burst,business hours,220,920,24,450,critical,medium,User session spikes suggest pooled worker behavior and load-balancing requirements.,Representative user-session traffic.
enterprise,citrix-vdi,vm-prod-citrix-vdi-worker-01,worker,wfshell.exe,profile-share.corp.local,external-service,external,SMB file share,SMB,445,tcp,external-edge,logon/logoff spikes,60,300,16,980,high,medium,"User profile, FSLogix, or home-drive paths should be validated before move.",Profile and file-share dependency.
healthcare,ehr-core,vm-prod-ehr-core-web-01,web,IISExpressWorker.exe,vm-prod-ehr-core-app-01,vm,app,EpicServiceHost.exe,HTTPS,443,tcp,steady-state,day shift,210,360,8,880,critical,high,Sustained clinician usage means front-end and app tiers should move together.,Primary clinician session flow.
healthcare,ehr-core,vm-prod-ehr-core-app-01,app,EpicServiceHost.exe,vm-prod-ehr-core-db-01,vm,db,sqlservr.exe,TDS,1433,tcp,steady-state,day shift,140,260,4,790,critical,high,Clinical transaction latency and DB affinity are strong migration constraints.,Core charting and order-entry transactions.
healthcare,ehr-core,vm-prod-ehr-core-app-01,app,EpicServiceHost.exe,adt-broker.corp.local,external-service,external,HL7 broker,MLLP,2575,tcp,steady-state,24h rolling,26,60,10,90,high,medium,Integration engine dependency discovered; keep interface engine readiness in scope.,ADT and interface messaging.
healthcare,ehr-core,vm-prod-ehr-core-app-01,app,EpicServiceHost.exe,smtp-relay.corp.local,external-service,external,SMTP relay,SMTP,25,tcp,external-edge,business hours,8,18,12,20,medium,low,Low-volume but important operational notification path.,Alerting and outbound notifications.
healthcare,pacs-imaging,vm-prod-pacs-imaging-app-01,app,dicomsvc.exe,imaging-modalities,external-service,external,DICOM modality,DICOM,104,tcp,burst,care hours,70,180,15,1200,critical,medium,Imaging spikes and device connectivity should be validated before wave planning.,Inbound modality and scanner uploads.
healthcare,pacs-imaging,vm-prod-pacs-imaging-app-01,app,dicomsvc.exe,vm-prod-pacs-imaging-db-01,vm,db,sqlservr.exe,TDS,1433,tcp,steady-state,24h rolling,34,90,6,140,critical,high,Metadata persistence dependency for imaging workflows.,PACS metadata storage.
healthcare,pacs-imaging,vm-prod-pacs-imaging-app-01,app,dicomsvc.exe,archive-nas.corp.local,external-service,external,NFS archive,NFS,2049,tcp,batch-window,20:00-06:00,18,72,19,2400,high,medium,Archive backfill and tiering traffic may require dedicated migration window planning.,Nightly image archive tiering.
healthcare,research-genomics,vm-prod-research-genomics-etl-01,etl,python.exe,sftp-sequencer.partner.example,external-service,external,SFTP feed,SFTP,22,tcp,batch-window,01:00-03:00,10,18,34,820,medium,medium,Sequencer ingest is partner-driven and time-bound.,Nightly FASTQ ingest.
healthcare,research-genomics,vm-prod-research-genomics-etl-01,etl,python.exe,vm-prod-research-genomics-comput-01,vm,compute,nextflow,HTTPS,443,tcp,batch-window,01:00-07:00,28,110,10,480,medium,high,ETL and compute nodes should be migrated together if batch windows are tight.,Pipeline orchestration and job dispatch.
healthcare,research-genomics,vm-prod-research-genomics-comput-01,compute,nextflow,reference-data-lake.corp.local,external-service,external,Object storage gateway,HTTPS,443,tcp,burst,batch + ad hoc,44,210,22,3600,medium,medium,High-throughput reads suggest staging or local caching strategy may be needed.,Reference genome and annotation fetches.
healthcare,research-genomics,vm-prod-research-genomics-comput-01,compute,nextflow,vm-prod-research-genomics-db-01,vm,db,postgres,PostgreSQL,5432,tcp,steady-state,batch + ad hoc,16,40,7,130,medium,high,Run-state metadata dependency for workflow orchestration.,Metadata persistence for jobs and runs.
shared,shared-services,vm-prod-identity-services-idm-01,idm,lsass.exe,domain-controller.corp.local,external-service,external,Active Directory,LDAP,389,tcp,external-edge,24h rolling,58,120,5,96,critical,high,Identity dependencies often appear across many apps and should be called out in migration readiness reviews.,Representative shared-identity traffic observed from multiple workloads.
shared,shared-services,vm-prod-monitoring-collector-01,monitoring,telegraf,monitoring-hub.corp.local,external-service,external,Monitoring ingestion,HTTPS,443,tcp,external-edge,24h rolling,42,68,11,52,medium,medium,Operational telemetry egress that should be preserved after migration.,Monitoring and observability traffic.
