source,target,protocol,port,interaction_type,criticality
commerce-java:web,commerce-java:app,HTTPS,443,synchronous,critical
commerce-java:app,commerce-java:db,TDS,1433,synchronous,critical
member-dotnet:web,member-dotnet:app,HTTPS,443,synchronous,critical
member-dotnet:app,member-dotnet:db,TDS,1433,synchronous,critical
sap-s4hana:sapweb,sap-s4hana:sapapp,HTTPS,443,synchronous,critical
sap-s4hana:sapapp,sap-s4hana:batch,RFC,3300,synchronous,critical
sap-s4hana:batch,sap-s4hana:db,SQL,30015,synchronous,critical
sap-bw:sapapp,sap-bw:batch,RFC,3300,synchronous,critical
sap-bw:batch,sap-bw:db,SQL,30015,synchronous,critical
citrix-vdi:controller,citrix-vdi:storefront,HTTPS,443,synchronous,critical
citrix-vdi:storefront,citrix-vdi:license,TCP,7279,synchronous,critical
citrix-vdi:license,citrix-vdi:worker,ICA,1494,synchronous,critical
citrix-vdi:worker,citrix-vdi:db,TDS,1433,synchronous,critical
payments-sqlao:api,payments-sqlao:app,HTTPS,443,synchronous,critical
payments-sqlao:app,payments-sqlao:dbprimary,TDS,1433,synchronous,critical
payments-sqlao:dbprimary,payments-sqlao:dbsecondary,HADR,5022,synchronous,critical
payments-sqlao:dbsecondary,payments-sqlao:witness,TCP,59999,synchronous,critical
ehr-core:web,ehr-core:app,HTTPS,443,synchronous,critical
ehr-core:app,ehr-core:db,TDS,1433,synchronous,critical
claims-core:web,claims-core:api,HTTPS,443,synchronous,medium
claims-core:api,claims-core:db,TDS,1433,synchronous,medium
provider-portal:web,provider-portal:app,HTTPS,443,synchronous,medium
provider-portal:app,provider-portal:db,TDS,1433,synchronous,medium
integration-bus:broker,integration-bus:api,HTTPS,443,synchronous,medium
identity-services:idm,identity-services:db,TDS,1433,synchronous,critical
data-warehouse:etl,data-warehouse:reporting,HTTPS,443,synchronous,medium
data-warehouse:reporting,data-warehouse:db,TDS,1433,synchronous,medium
pacs-imaging:web,pacs-imaging:app,HTTPS,443,synchronous,critical
pacs-imaging:app,pacs-imaging:db,TDS,1433,synchronous,critical
lab-systems:app,lab-systems:db,TDS,1433,synchronous,medium
pharmacy:app,pharmacy:db,TDS,1433,synchronous,medium
call-center:web,call-center:app,HTTPS,443,synchronous,medium
call-center:app,call-center:db,TDS,1433,synchronous,medium
research-genomics:etl,research-genomics:compute,HTTPS,443,synchronous,medium
research-genomics:compute,research-genomics:db,TDS,1433,synchronous,medium
devops-shared:ci,devops-shared:artifact,HTTPS,443,synchronous,medium
