group_name,application_name,vm_name,tier,role,environment,criticality,suggested_target,migration_wave,technologies,technical_owner
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-contro-01,contro,citrix delivery controller,prod,,Azure VMware Solution,wave-3,Citrix Delivery Controller; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-contro-02,contro,citrix delivery controller,prod,,Azure VMware Solution,wave-3,Citrix Delivery Controller; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-db-01,db,database tier,prod,,Azure SQL Managed Instance candidate,wave-3,SQL Server 2022; SSRS; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-db-02,db,database tier,prod,,Azure SQL Managed Instance candidate,wave-3,SQL Server 2022; SSRS; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-storef-01,storef,citrix storefront,prod,,Azure VMware Solution,wave-2,Citrix StoreFront; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-storef-02,storef,citrix storefront,prod,,Azure VMware Solution,wave-2,Citrix StoreFront; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-01,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-02,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-03,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-04,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-05,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-06,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-07,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-08,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-09,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-10,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-11,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-12,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-13,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-14,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-15,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2019,
grp-prod--citrix-clinical-de,citrix-clinical-de,vm-prod-citrix-clinical-de-worker-16,worker,worker / session host,prod,,Azure VMware Solution,wave-2,Citrix Virtual Delivery Agent; Microsoft Windows Server 2022,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-api-01,api,api tier,prod,,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Red Hat Enterprise Linux 8,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-api-02,api,api tier,prod,,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Ubuntu Linux,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-api-03,api,api tier,prod,,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Red Hat Enterprise Linux 8,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-api-04,api,api tier,prod,,Azure Virtual Machines,wave-2,Nginx; Node.js 18; Ubuntu Linux,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-db-01,db,database tier,prod,,Azure Database for PostgreSQL candidate,wave-3,PostgreSQL 14; Patroni; Ubuntu Linux,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-db-02,db,database tier,prod,,Azure Database for PostgreSQL candidate,wave-3,PostgreSQL 14; Patroni; Ubuntu Linux,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-web-01,web,web host / ingress,prod,,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-web-02,web,web host / ingress,prod,,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-web-03,web,web host / ingress,prod,,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,
grp-prod--claims-adjudicatio,claims-adjudicatio,vm-prod-claims-adjudicatio-web-04,web,web host / ingress,prod,,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,
grp-prod-tier1-epic-ehr-core,epic-ehr-core,vm-prod-epic-ehr-core-app-01,app,application tier,prod,tier-1,Azure Virtual Machines,wave-3,Windows Service; .NET 6; Microsoft Windows Server 2019,Clinical Informatics Team
