group_name,application_name,vm_name,tier,role,environment,criticality,suggested_target,migration_wave,technologies,technical_owner
grp-dev-tier3-devops-shared,devops-shared,vm-dev-devops-shared-artifa-01,artifa,artifact service,dev,tier-3,Azure Virtual Machines,wave-1,Nginx; Python 3.11; Ubuntu Linux,Platform Engineering Team
grp-dev-tier3-devops-shared,devops-shared,vm-dev-devops-shared-artifa-02,artifa,artifact service,dev,tier-3,Azure Virtual Machines,wave-1,Nginx; Python 3.11; Ubuntu Linux,Platform Engineering Team
grp-dev-tier3-devops-shared,devops-shared,vm-dev-devops-shared-ci-01,ci,ci server,dev,tier-3,Azure Virtual Machines,wave-1,Jenkins; Docker; CentOS 7,Platform Engineering Team
grp-dev-tier3-devops-shared,devops-shared,vm-dev-devops-shared-ci-02,ci,ci server,dev,tier-3,Azure Virtual Machines,wave-1,Jenkins; Docker; CentOS 7,Platform Engineering Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-app-01,app,application tier,prod,tier-2,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-app-02,app,application tier,prod,tier-2,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-app-03,app,application tier,prod,tier-2,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-app-04,app,application tier,prod,tier-2,Azure App Service candidate,wave-3,IIS 10; .NET 8; Microsoft Windows Server 2022,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-db-01,db,database tier,prod,tier-2,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-db-02,db,database tier,prod,tier-2,Azure SQL Managed Instance candidate,wave-3,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Customer Ops Team
grp-prod-tier2-call-center,call-center,vm-prod-call-center-web-01,web,web host / ingress,prod,tier-2,Azure VMware Solution,wave-2,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Customer Ops Team
