group_name,application_name,environment,criticality,owner,vm_count,included_tiers,migration_waves,target_hints,all_members,portal_path,checklist_note
grp-prod-tier2-call-center,call-center,prod,tier-2,customer-ops,10,app; db; web,wave-2; wave-3,Azure App Service candidate; Azure SQL Managed Instance candidate; Azure VMware Solution,vm-prod-call-center-web-01; vm-prod-call-center-web-02; vm-prod-call-center-web-03; vm-prod-call-center-web-04; vm-prod-call-center-app-01; vm-prod-call-center-app-02; vm-prod-call-center-app-03; vm-prod-call-center-app-04; vm-prod-call-center-db-01; vm-prod-call-center-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-citrix-vdi,citrix-vdi,prod,tier-1,end-user-compute,31,contro; db; licens; storef; worker,wave-2; wave-3,Azure SQL Managed Instance candidate; Azure VMware Solution,vm-prod-citrix-vdi-contro-01; vm-prod-citrix-vdi-contro-02; vm-prod-citrix-vdi-storef-01; vm-prod-citrix-vdi-storef-02; vm-prod-citrix-vdi-licens-01; vm-prod-citrix-vdi-worker-01; vm-prod-citrix-vdi-worker-02; vm-prod-citrix-vdi-worker-03; vm-prod-citrix-vdi-worker-04; vm-prod-citrix-vdi-worker-05; vm-prod-citrix-vdi-worker-06; vm-prod-citrix-vdi-worker-07; vm-prod-citrix-vdi-worker-08; vm-prod-citrix-vdi-worker-09; vm-prod-citrix-vdi-worker-10; vm-prod-citrix-vdi-worker-11; vm-prod-citrix-vdi-worker-12; vm-prod-citrix-vdi-worker-13; vm-prod-citrix-vdi-worker-14; vm-prod-citrix-vdi-worker-15; vm-prod-citrix-vdi-worker-16; vm-prod-citrix-vdi-worker-17; vm-prod-citrix-vdi-worker-18; vm-prod-citrix-vdi-worker-19; vm-prod-citrix-vdi-worker-20; vm-prod-citrix-vdi-worker-21; vm-prod-citrix-vdi-worker-22; vm-prod-citrix-vdi-worker-23; vm-prod-citrix-vdi-worker-24; vm-prod-citrix-vdi-db-01; vm-prod-citrix-vdi-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier2-claims-core,claims-core,prod,tier-2,claims-it,10,api; db; web,wave-2; wave-3,Azure Database for PostgreSQL candidate; Azure VMware Solution; Azure Virtual Machines,vm-prod-claims-core-web-01; vm-prod-claims-core-web-02; vm-prod-claims-core-web-03; vm-prod-claims-core-web-04; vm-prod-claims-core-api-01; vm-prod-claims-core-api-02; vm-prod-claims-core-api-03; vm-prod-claims-core-api-04; vm-prod-claims-core-db-01; vm-prod-claims-core-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-commerce-java,commerce-java,prod,tier-1,digital-commerce,14,app; db; web,wave-2; wave-3,Azure SQL Managed Instance candidate; Azure VMware Solution,vm-prod-commerce-java-web-01; vm-prod-commerce-java-web-02; vm-prod-commerce-java-web-03; vm-prod-commerce-java-web-04; vm-prod-commerce-java-web-05; vm-prod-commerce-java-web-06; vm-prod-commerce-java-app-01; vm-prod-commerce-java-app-02; vm-prod-commerce-java-app-03; vm-prod-commerce-java-app-04; vm-prod-commerce-java-app-05; vm-prod-commerce-java-app-06; vm-prod-commerce-java-db-01; vm-prod-commerce-java-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier2-data-warehouse,data-warehouse,prod,tier-2,data-platform,10,db; etl; report,wave-3,Azure SQL Managed Instance candidate; Azure Virtual Machines,vm-prod-data-warehouse-etl-01; vm-prod-data-warehouse-etl-02; vm-prod-data-warehouse-etl-03; vm-prod-data-warehouse-etl-04; vm-prod-data-warehouse-report-01; vm-prod-data-warehouse-report-02; vm-prod-data-warehouse-report-03; vm-prod-data-warehouse-report-04; vm-prod-data-warehouse-db-01; vm-prod-data-warehouse-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-dev-tier3-devops-shared,devops-shared,dev,tier-3,platform-engineering,4,artifa; ci,wave-1,Azure Virtual Machines,vm-dev-devops-shared-ci-01; vm-dev-devops-shared-ci-02; vm-dev-devops-shared-artifa-01; vm-dev-devops-shared-artifa-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-ehr-core,ehr-core,prod,tier-1,clinical-platform,16,app; db; web,wave-2; wave-3,Azure SQL Managed Instance candidate; Azure VMware Solution; Azure Virtual Machines,vm-prod-ehr-core-web-01; vm-prod-ehr-core-web-02; vm-prod-ehr-core-web-03; vm-prod-ehr-core-web-04; vm-prod-ehr-core-app-01; vm-prod-ehr-core-app-02; vm-prod-ehr-core-app-03; vm-prod-ehr-core-app-04; vm-prod-ehr-core-app-05; vm-prod-ehr-core-app-06; vm-prod-ehr-core-app-07; vm-prod-ehr-core-app-08; vm-prod-ehr-core-db-01; vm-prod-ehr-core-db-02; vm-prod-ehr-core-db-03; vm-prod-ehr-core-db-04,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier1-identity-services,identity-services,prod,tier-1,security-engineering,6,db; idm,wave-3,Azure SQL Managed Instance candidate; Azure Virtual Machines,vm-prod-identity-services-idm-01; vm-prod-identity-services-idm-02; vm-prod-identity-services-idm-03; vm-prod-identity-services-idm-04; vm-prod-identity-services-db-01; vm-prod-identity-services-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier2-integration-bus,integration-bus,prod,tier-2,integration-platform,8,api; broker,wave-2; wave-3,Azure Virtual Machines,vm-prod-integration-bus-broker-01; vm-prod-integration-bus-broker-02; vm-prod-integration-bus-broker-03; vm-prod-integration-bus-broker-04; vm-prod-integration-bus-api-01; vm-prod-integration-bus-api-02; vm-prod-integration-bus-api-03; vm-prod-integration-bus-api-04,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
grp-prod-tier2-lab-systems,lab-systems,prod,tier-2,lab-it,6,app; db,wave-3,Azure SQL Managed Instance candidate; Azure Virtual Machines,vm-prod-lab-systems-app-01; vm-prod-lab-systems-app-02; vm-prod-lab-systems-app-03; vm-prod-lab-systems-app-04; vm-prod-lab-systems-db-01; vm-prod-lab-systems-db-02,"Discovery and assessment > Servers, databases and web apps > Groups","Create one assessment group per application, verify tier completeness, then run sizing and readiness assessments."
