vm,application_name,tier,criticality,owner,technologies,suggested_target,migration_wave
vm-prod-commerce-java-web-01,commerce-java,web,tier-1,digital-commerce,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-commerce-java-web-02,commerce-java,web,tier-1,digital-commerce,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-commerce-java-web-03,commerce-java,web,tier-1,digital-commerce,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-commerce-java-web-04,commerce-java,web,tier-1,digital-commerce,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-commerce-java-web-05,commerce-java,web,tier-1,digital-commerce,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-commerce-java-web-06,commerce-java,web,tier-1,digital-commerce,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-commerce-java-app-01,commerce-java,app,tier-1,digital-commerce,Tomcat 9; Java 11; Microsoft Windows Server 2019,Azure VMware Solution,wave-3
vm-prod-commerce-java-app-02,commerce-java,app,tier-1,digital-commerce,Tomcat 9; Java 11; Red Hat Enterprise Linux 8,Azure VMware Solution,wave-3
vm-prod-commerce-java-app-03,commerce-java,app,tier-1,digital-commerce,Tomcat 9; Java 11; Microsoft Windows Server 2019,Azure VMware Solution,wave-3
vm-prod-commerce-java-app-04,commerce-java,app,tier-1,digital-commerce,Tomcat 9; Java 11; Red Hat Enterprise Linux 8,Azure VMware Solution,wave-3
vm-prod-commerce-java-app-05,commerce-java,app,tier-1,digital-commerce,Tomcat 9; Java 11; Microsoft Windows Server 2019,Azure VMware Solution,wave-3
vm-prod-commerce-java-app-06,commerce-java,app,tier-1,digital-commerce,Tomcat 9; Java 11; Red Hat Enterprise Linux 8,Azure VMware Solution,wave-3
vm-prod-commerce-java-db-01,commerce-java,db,tier-1,digital-commerce,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Azure SQL Managed Instance candidate,wave-3
vm-prod-commerce-java-db-02,commerce-java,db,tier-1,digital-commerce,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Azure SQL Managed Instance candidate,wave-3
vm-prod-member-dotnet-web-01,member-dotnet,web,tier-1,member-platform,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-member-dotnet-web-02,member-dotnet,web,tier-1,member-platform,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-member-dotnet-web-03,member-dotnet,web,tier-1,member-platform,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
