source,target,protocol,port,interaction_type,criticality
epic-ehr-core:presentation,epic-ehr-core:app,HTTPS,443,synchronous,critical
epic-ehr-core:app,epic-ehr-core:db,TDS,1433,synchronous,critical
patient-portal-dotnet:web,patient-portal-dotnet:app,HTTPS,443,synchronous,critical
patient-portal-dotnet:app,patient-portal-dotnet:db,TDS,1433,synchronous,critical
revenue-cycle-sap:sapweb,revenue-cycle-sap:sapapp,HTTPS,443,synchronous,critical
revenue-cycle-sap:sapapp,revenue-cycle-sap:batch,HTTPS,443,synchronous,critical
revenue-cycle-sap:batch,revenue-cycle-sap:db,TDS,1433,synchronous,critical
claims-adjudication:web,claims-adjudication:api,HTTPS,443,synchronous,medium
claims-adjudication:api,claims-adjudication:db,TDS,1433,synchronous,medium
citrix-clinical-desktops:controller,citrix-clinical-desktops:storefront,HTTPS,443,synchronous,critical
citrix-clinical-desktops:storefront,citrix-clinical-desktops:worker,HTTPS,443,synchronous,critical
citrix-clinical-desktops:worker,citrix-clinical-desktops:db,TDS,1433,synchronous,critical
research-genomics-pipeline:etl,research-genomics-pipeline:compute,HTTPS,443,synchronous,medium
research-genomics-pipeline:compute,research-genomics-pipeline:db,TDS,1433,synchronous,medium
pacs-imaging:web,pacs-imaging:app,HTTPS,443,synchronous,critical
pacs-imaging:app,pacs-imaging:db,TDS,1433,synchronous,critical
lab-information-system:app,lab-information-system:db,TDS,1433,synchronous,critical
pharmacy-management:app,pharmacy-management:db,TDS,1433,synchronous,critical
provider-directory:web,provider-directory:app,HTTPS,443,synchronous,medium
provider-directory:app,provider-directory:db,TDS,1433,synchronous,medium
integration-engine:broker,integration-engine:api,HTTPS,443,synchronous,critical
identity-and-access:idm,identity-and-access:db,TDS,1433,synchronous,critical
